Resort;Service;Sales_Person;Revenue
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;3240
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;4320
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;9720
French Riviera;Hotel Suite;Jerome;4320
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;2280
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
French Riviera;Sports;Jerome;3040
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Hotel Suite;Jerome;4672
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Hotel Suite;Jerome;3504
Bahamas Beach;Hotel Suite;Jerome;7008
Bahamas Beach;Hotel Suite;Jerome;5840
Bahamas Beach;Hotel Suite;Jerome;4672
Bahamas Beach;Hotel Suite;Jerome;8760
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1200
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1200
Bahamas Beach;Sports;Jerome;2400
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Sports;Jerome;2400
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;8850
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;12390
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;12390
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;7080
Hawaiian Club;Hotel Suite;Jerome;8850
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Hotel Suite;Jerome;10620
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;1800
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;3600
Hawaiian Club;Sports;Jerome;3000
Hawaiian Club;Sports;Jerome;3600
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;1800
Hawaiian Club;Sports;Jerome;2400
Hawaiian Club;Sports;Jerome;2400
French Riviera;Hotel Room;Jerome;3570
French Riviera;Hotel Room;Jerome;4760
French Riviera;Hotel Room;Jerome;3570
French Riviera;Hotel Room;Jerome;3570
French Riviera;Hotel Room;Jerome;2040
French Riviera;Hotel Room;Jerome;3060
French Riviera;Hotel Room;Jerome;2380
French Riviera;Hotel Room;Jerome;2040
French Riviera;Hotel Room;Jerome;2040
French Riviera;Hotel Room;Jerome;3060
French Riviera;Hotel Room;Jerome;3060
French Riviera;Hotel Room;Jerome;2040
French Riviera;Activities;Jerome;1050
French Riviera;Activities;Jerome;1050
French Riviera;Activities;Jerome;1050
French Riviera;Activities;Jerome;1050
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
French Riviera;Activities;Jerome;600
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;6720
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;4032
Bahamas Beach;Hotel Room;Jerome;2304
Bahamas Beach;Hotel Room;Jerome;4800
Bahamas Beach;Hotel Room;Jerome;5376
Bahamas Beach;Hotel Room;Jerome;4032
Bahamas Beach;Activities;Jerome;4800
Bahamas Beach;Activities;Jerome;5600
Bahamas Beach;Activities;Jerome;4800
Bahamas Beach;Activities;Jerome;5600
Bahamas Beach;Activities;Jerome;5600
Bahamas Beach;Activities;Jerome;6400
Bahamas Beach;Activities;Jerome;4800
Bahamas Beach;Activities;Jerome;5600
Bahamas Beach;Activities;Jerome;7000
Bahamas Beach;Activities;Jerome;5600
Bahamas Beach;Activities;Jerome;4200
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;9360
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;7800
Hawaiian Club;Hotel Room;Jerome;9360
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;11700
Hawaiian Club;Hotel Room;Jerome;9360
Hawaiian Club;Hotel Room;Jerome;9360
Hawaiian Club;Hotel Room;Jerome;13650
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;7200
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;6000
Hawaiian Club;Activities;Jerome;7200
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;7200
Hawaiian Club;Activities;Jerome;9000
Hawaiian Club;Activities;Jerome;10500
Bahamas Beach;Hotel Suite;Jerome;10512
Bahamas Beach;Restaurant;Jerome;5320
Bahamas Beach;Restaurant;Jerome;3325
Bahamas Beach;Restaurant;Jerome;2375
Bahamas Beach;Restaurant;Jerome;4560
Bahamas Beach;Restaurant;Jerome;2375
Bahamas Beach;Restaurant;Jerome;2375
Bahamas Beach;Sports;Jerome;1600
Bahamas Beach;Bungalow;Jerome;3200
Bahamas Beach;Fast Food;Jerome;1200
French Riviera;Bungalow;Fischer;3840
French Riviera;Bungalow;Fischer;3840
French Riviera;Bungalow;Fischer;4320
French Riviera;Bungalow;Fischer;2520
French Riviera;Bungalow;Fischer;3840
French Riviera;Bungalow;Fischer;3840
French Riviera;Bungalow;Fischer;4800
French Riviera;Bungalow;Fischer;1440
French Riviera;Bungalow;Fischer;3360
French Riviera;Bungalow;Fischer;3360
French Riviera;Bungalow;Fischer;4200
French Riviera;Bungalow;Fischer;1440
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;1080
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;2880
French Riviera;Fast Food;Fischer;1440
French Riviera;Fast Food;Fischer;2520
French Riviera;Fast Food;Fischer;2520
French Riviera;Fast Food;Fischer;2520
French Riviera;Fast Food;Fischer;1080
Bahamas Beach;Bungalow;Fischer;2400
Bahamas Beach;Bungalow;Fischer;3200
Bahamas Beach;Bungalow;Fischer;4480
Bahamas Beach;Bungalow;Fischer;3840
Bahamas Beach;Bungalow;Fischer;3840
Bahamas Beach;Bungalow;Fischer;3840
Bahamas Beach;Bungalow;Fischer;4480
Bahamas Beach;Bungalow;Fischer;5600
Bahamas Beach;Bungalow;Fischer;2560
Bahamas Beach;Bungalow;Fischer;5120
Bahamas Beach;Bungalow;Fischer;4480
Bahamas Beach;Fast Food;Fischer;960
Bahamas Beach;Fast Food;Fischer;1200
Bahamas Beach;Fast Food;Fischer;1280
Bahamas Beach;Fast Food;Fischer;1440
Bahamas Beach;Fast Food;Fischer;1440
Bahamas Beach;Fast Food;Fischer;1440
